deduplication_id,duplicate_record_id,canonical_record_id,match_method,match_key,action,manual_verification_status,notes
D000039,R001102,R001054,normalized_doi,10.1109/tpwrs.2022.3173250,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000040,R001103,R001088,normalized_doi,10.1016/j.rser.2023.114019,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000041,R001109,R001090,normalized_doi,10.1016/j.egyr.2025.03.020,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000042,R001113,R001080,normalized_doi,10.1007/s10586-022-03713-0,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000043,R001132,R001122,normalized_doi,10.1021/acs.chemrev.0c00767,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000044,R001133,R001123,normalized_doi,10.1038/s41586-019-1682-5,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000045,R001134,R001125,normalized_doi,10.3390/en15020589,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000046,R001135,R001128,normalized_doi,10.1109/tsg.2017.2763683,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000047,R001136,R001124,normalized_doi,10.1016/j.energy.2021.121608,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000048,R001138,R001131,normalized_doi,10.1016/j.est.2022.105241,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000049,R001143,R001124,normalized_doi,10.1016/j.energy.2021.121608,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000050,R001144,R001125,normalized_doi,10.3390/en15020589,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000051,R001145,R001126,normalized_doi,10.3390/smartcities4010022,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000052,R001146,R001141,normalized_doi,10.1016/j.apenergy.2018.02.038,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000053,R001148,R001139,normalized_doi,10.1109/access.2019.2958664,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000054,R001149,R001128,normalized_doi,10.1109/tsg.2017.2763683,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000055,R001150,R001131,normalized_doi,10.1016/j.est.2022.105241,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000056,R001152,R001125,normalized_doi,10.3390/en15020589,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000057,R001153,R001131,normalized_doi,10.1016/j.est.2022.105241,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000058,R001154,R001128,normalized_doi,10.1109/tsg.2017.2763683,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000059,R001162,R001123,normalized_doi,10.1038/s41586-019-1682-5,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000060,R001163,R001124,normalized_doi,10.1016/j.energy.2021.121608,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000061,R001165,R001131,normalized_doi,10.1016/j.est.2022.105241,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000062,R001167,R001156,normalized_doi,10.1109/access.2022.3217525,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000063,R001172,R001125,normalized_doi,10.3390/en15020589,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000064,R001173,R001131,normalized_doi,10.1016/j.est.2022.105241,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000065,R001177,R001171,normalized_doi,10.1016/j.rser.2022.113052,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000066,R001179,R000997,normalized_doi,10.1109/tsg.2020.3026971,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000067,R001180,R001042,normalized_doi,10.1016/j.rser.2021.111393,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000068,R001182,R001125,normalized_doi,10.3390/en15020589,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000069,R001183,R001131,normalized_doi,10.1016/j.est.2022.105241,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000070,R001185,R001174,normalized_doi,10.1146/annurev-environ-030117-020220,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000071,R001186,R001171,normalized_doi,10.1016/j.rser.2022.113052,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000072,R001187,R001176,normalized_doi,10.1109/tii.2020.2986883,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000073,R001188,R001178,normalized_doi,10.1016/j.ref.2020.10.001,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000074,R001190,R001042,normalized_doi,10.1016/j.rser.2021.111393,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000075,R001192,R001042,normalized_doi,10.1016/j.rser.2021.111393,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000076,R001193,R001125,normalized_doi,10.3390/en15020589,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000077,R001194,R001176,normalized_doi,10.1109/tii.2020.2986883,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000078,R001195,R000992,normalized_doi,10.1016/j.rser.2020.109840,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000079,R001196,R001131,normalized_doi,10.1016/j.est.2022.105241,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000080,R001200,R001174,normalized_doi,10.1146/annurev-environ-030117-020220,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000081,R001202,R001125,normalized_doi,10.3390/en15020589,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000082,R001203,R001131,normalized_doi,10.1016/j.est.2022.105241,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000083,R001204,R001197,normalized_doi,10.1111/poms.12876,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000084,R001205,R001160,normalized_doi,10.17775/cseejpes.2020.01610,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000085,R001207,R000992,normalized_doi,10.1016/j.rser.2020.109840,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000086,R001209,R001000,normalized_doi,10.1016/j.autcon.2022.104174,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000087,R001211,R001175,normalized_doi,10.1016/j.rser.2015.01.057,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000088,R001212,R001131,normalized_doi,10.1016/j.est.2022.105241,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000089,R001213,R001171,normalized_doi,10.1016/j.rser.2022.113052,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000090,R001215,R001160,normalized_doi,10.17775/cseejpes.2020.01610,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000091,R001217,R000992,normalized_doi,10.1016/j.rser.2020.109840,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000092,R001218,R000976,normalized_doi,10.1016/j.scs.2021.103445,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000093,R001219,R001206,normalized_doi,10.3390/en14092530,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000094,R001221,R001189,normalized_doi,10.3390/en13174541,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000095,R001222,R001066,normalized_doi,10.1109/comst.2022.3199901,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000096,R001223,R001035,normalized_doi,10.1109/access.2020.3001277,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000097,R001226,R001036,normalized_doi,10.1109/jsac.2016.2525418,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000098,R001230,R000981,normalized_doi,10.1016/j.scs.2023.105107,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000099,R001232,R001035,normalized_doi,10.1109/access.2020.3001277,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000100,R001233,R001036,normalized_doi,10.1109/jsac.2016.2525418,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000101,R001237,R001231,normalized_doi,10.3390/app8030408,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000102,R001239,R001000,normalized_doi,10.1016/j.autcon.2022.104174,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000103,R001242,R000992,normalized_doi,10.1016/j.rser.2020.109840,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000104,R001243,R001000,normalized_doi,10.1016/j.autcon.2022.104174,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000105,R001252,R001227,normalized_doi,10.1016/j.apenergy.2018.02.126,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000106,R001253,R001238,normalized_doi,10.3390/en17194794,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000107,R001256,R001000,normalized_doi,10.1016/j.autcon.2022.104174,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000108,R001258,R001241,normalized_doi,10.1145/3009972,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000109,R001262,R001066,normalized_doi,10.1109/comst.2022.3199901,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000110,R001263,R001035,normalized_doi,10.1109/access.2020.3001277,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000111,R001264,R001224,normalized_doi,10.1016/j.jii.2018.01.005,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000112,R001265,R001225,normalized_doi,10.1109/ojcoms.2021.3071496,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000113,R001266,R001036,normalized_doi,10.1109/jsac.2016.2525418,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000114,R001268,R001251,normalized_doi,10.3390/s24061888,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000115,R001270,R001236,normalized_doi,10.1145/3571072,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000116,R001272,R001122,normalized_doi,10.1021/acs.chemrev.0c00767,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000117,R001273,R001026,normalized_doi,10.1109/ojcoms.2021.3057679,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000118,R001274,R001131,normalized_doi,10.1016/j.est.2022.105241,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000119,R001275,R001139,normalized_doi,10.1109/access.2019.2958664,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000120,R001276,R001035,normalized_doi,10.1109/access.2020.3001277,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000121,R001278,R001159,normalized_doi,10.3390/en15030803,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000122,R001282,R001122,normalized_doi,10.1021/acs.chemrev.0c00767,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000123,R001283,R001026,normalized_doi,10.1109/ojcoms.2021.3057679,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000124,R001284,R001131,normalized_doi,10.1016/j.est.2022.105241,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000125,R001285,R001139,normalized_doi,10.1109/access.2019.2958664,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000126,R001286,R001035,normalized_doi,10.1109/access.2020.3001277,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000127,R001287,R001280,normalized_doi,10.1109/access.2023.3267164,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000128,R001288,R001277,normalized_doi,10.3390/en12193748,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000129,R001289,R001159,normalized_doi,10.3390/en15030803,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000130,R001290,R001208,normalized_doi,10.1016/j.egyr.2022.09.023,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000131,R001291,R001281,normalized_doi,10.1109/tcst.2023.3291549,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000132,R001292,R001131,normalized_doi,10.1016/j.est.2022.105241,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000133,R001293,R001139,normalized_doi,10.1109/access.2019.2958664,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000134,R001294,R001042,normalized_doi,10.1016/j.rser.2021.111393,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000135,R001295,R001176,normalized_doi,10.1109/tii.2020.2986883,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000136,R001296,R000992,normalized_doi,10.1016/j.rser.2020.109840,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000137,R001297,R001277,normalized_doi,10.3390/en12193748,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000138,R001298,R001159,normalized_doi,10.3390/en15030803,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000139,R001299,R001279,normalized_doi,10.1109/access.2021.3116678,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000140,R001300,R001280,normalized_doi,10.1109/access.2023.3267164,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000141,R001301,R001045,normalized_doi,10.1109/tpel.2015.2464277,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000142,R001302,R001131,normalized_doi,10.1016/j.est.2022.105241,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000143,R001303,R001159,normalized_doi,10.3390/en15030803,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000144,R001304,R001208,normalized_doi,10.1016/j.egyr.2022.09.023,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000145,R001312,R001026,normalized_doi,10.1109/ojcoms.2021.3057679,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000146,R001313,R001131,normalized_doi,10.1016/j.est.2022.105241,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000147,R001314,R001035,normalized_doi,10.1109/access.2020.3001277,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000148,R001315,R001159,normalized_doi,10.3390/en15030803,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000149,R001316,R001280,normalized_doi,10.1109/access.2023.3267164,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000150,R001318,R001281,normalized_doi,10.1109/tcst.2023.3291549,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000151,R001319,R001279,normalized_doi,10.1109/access.2021.3116678,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000152,R001321,R001220,normalized_doi,10.1109/tits.2020.3023899,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000153,R001323,R000974,normalized_doi,10.1016/j.rser.2016.11.167,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000154,R001324,R000977,normalized_doi,10.2172/1784302,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000155,R001325,R001229,normalized_doi,10.1016/j.apenergy.2022.119104,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000156,R001332,R000977,normalized_doi,10.2172/1784302,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000157,R001333,R001327,normalized_doi,10.1016/j.apenergy.2022.118612,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000158,R001341,R001329,normalized_doi,10.1016/j.rser.2021.111963,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000159,R001342,R001322,normalized_doi,10.1007/s00170-021-07682-3,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000160,R001343,R001326,normalized_doi,10.1109/access.2022.3156581,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000161,R001345,R001327,normalized_doi,10.1016/j.apenergy.2022.118612,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000162,R001346,R001100,normalized_doi,10.1109/access.2021.3059106,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000163,R001347,R001099,normalized_doi,10.3390/fi14050128,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000164,R001349,R001260,normalized_doi,10.1109/access.2019.2951459,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000165,R001350,R001271,normalized_doi,10.3390/buildings14113446,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000166,R001352,R000977,normalized_doi,10.2172/1784302,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000167,R001353,R001326,normalized_doi,10.1109/access.2022.3156581,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000168,R001354,R001334,normalized_doi,10.1016/j.jobe.2023.106148,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000169,R001356,R001337,normalized_doi,10.1109/tc.2015.2495244,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000170,R001358,R001338,normalized_doi,10.2172/1577968,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
