search_record_id,title,publication_year,doi_normalized,stable_url,oa_url,query_ids,manual_review_reason
R000040,Experimental Evaluation of Frequency Regulation From Commercial Building HVAC Systems,2015,10.1109/tsg.2014.2381596,https://doi.org/10.1109/tsg.2014.2381596,http://ieeexplore.ieee.org/ielaam/5165411/7042857/7001102-aam.pdf,QFIELD_BLDG_frequency_response_regulation|QPR_BLDG_frequency_response_regulation|QSA_BLDG_frequency_response_regulation,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000045,A Simplified Functional Hybrid Operation Mode for Grid-Interactive Building Energy Management,2022,10.1109/pesgre52268.2022.9715880,https://doi.org/10.1109/pesgre52268.2022.9715880,,QFIELD_BLDG_local_energy_sharing_distribution_support|QFIELD_BLDG_renewable_energy_integration|QFIELD_BLDG_resilience_emergency_operation|QPAIR_BS_BLDG_local_energy_sharing_distribution_support|QPAIR_EV_BLDG_renewable_energy_integration|QPR_BLDG_local_energy_sharing_distribution_support|QPR_BLDG_renewable_energy_integration|QPR_BLDG_resilience_emergency_operation|QSA_BLDG_local_energy_sharing_distribution_support|QSA_BLDG_renewable_energy_integration|QSA_BLDG_resilience_emergency_operation,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000060,Renewable energy for enhanced building energy flexibility,2023,10.1016/b978-0-323-99588-7.00011-0,https://doi.org/10.1016/b978-0-323-99588-7.00011-0,,QFIELD_BLDG_renewable_energy_integration|QPR_BLDG_renewable_energy_integration|QSA_BLDG_renewable_energy_integration,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000071,Operation Flexibility of Building Energy Systems with Thermal Storages,2015,10.26868/25222708.2015.2582,https://doi.org/10.26868/25222708.2015.2582,,QFIELD_BLDG_resilience_emergency_operation|QPR_BLDG_resilience_emergency_operation|QSA_BLDG_resilience_emergency_operation,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000076,Multi-objective optimization model of micro-grid access to 5G base station under the background of China’s carbon peak shaving and carbon neutrality targets,2022,10.3389/fenrg.2022.1032993,https://doi.org/10.3389/fenrg.2022.1032993,,QFIELD_BS_demand_response_peak_management,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000078,A Proposed Approach to Relay-Base Station Link Design for 5G Radio Access Network,2025,10.33103/uot.ijccce.25.1.5,https://doi.org/10.33103/uot.ijccce.25.1.5,,QFIELD_BS_demand_response_peak_management|QFIELD_BS_resilience_emergency_operation,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000080,Enhanced Grid Stability and Demand-Side Optimization through Deep Neural Network-Controlled Vehicle-to-Grid (V2G) Peak Shaving and Load Shifting,2025,10.11159/eee25.138,https://doi.org/10.11159/eee25.138,,QFIELD_BS_demand_response_peak_management|QFIELD_EV_demand_response_peak_management|QPAIR_BS_EV_demand_response_peak_management,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000082,5G‐NR Radio Interface – Operations on the Frequency Bands,2021,10.1002/9781119851288.ch5,https://doi.org/10.1002/9781119851288.ch5,https://onlinelibrary.wiley.com/doi/pdf/10.1002/9781119851288.ch5,QFIELD_BS_frequency_response_regulation|QPR_BS_frequency_response_regulation|QSA_BS_frequency_response_regulation,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000084,Radio Frequency Electromagnetic Field Measurements in a Commercial 5G Network,2021,10.1109/5gwf52925.2021.00055,https://doi.org/10.1109/5gwf52925.2021.00055,,QFIELD_BS_frequency_response_regulation,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000086,Perspective Chapter: Integration of Fiberoptic and Radio Frequency Channels for Hybrid 5G MIMO Network,2025,10.5772/intechopen.1002523,https://doi.org/10.5772/intechopen.1002523,,QFIELD_BS_frequency_response_regulation|QPR_BS_frequency_response_regulation|QSA_BS_frequency_response_regulation,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000087,Simple and Fast Modelling of Radio Frequency Passives in View of Beyond-5G and 6G Applications – Case Study of an RF-MEMS Multi-State Network Described by an Equivalent Lumped Element Network,2024,10.21203/rs.3.rs-4382069/v1,https://doi.org/10.21203/rs.3.rs-4382069/v1,,QFIELD_BS_frequency_response_regulation,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000088,Improving radio frequency resource management in a segmented 5G Radio Access Network,2026,10.31673/2786-8362.2026.018042,https://doi.org/10.31673/2786-8362.2026.018042,,QFIELD_BS_frequency_response_regulation,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000090,Evaluation of adjacent channel interference from land-earth station in motion to 5G radio access network in the Ka-frequency band,2021,10.1016/j.heliyon.2021.e07412,https://doi.org/10.1016/j.heliyon.2021.e07412,,QFIELD_BS_frequency_response_regulation,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000091,Integrated Control Strategy for 5g Base Station Frequency Regulation Considering Spatio-Temporal Variations in Communication Load,2024,10.2139/ssrn.4803484,https://doi.org/10.2139/ssrn.4803484,,QFIELD_BS_frequency_response_regulation,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000093,Resource Sharing Strategy based on Hierarchical Game in Virtual Power Plant with 5G Base Station,2023,10.1109/iccsie55183.2023.10175216,https://doi.org/10.1109/iccsie55183.2023.10175216,,QFIELD_BS_local_energy_sharing_distribution_support,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000095,Efficient virtual power plant management strategy and Leontief-game pricing mechanism towards real-time economic dispatch support: A case study of large-scale 5G base stations,2024,10.1016/j.apenergy.2024.122650,https://doi.org/10.1016/j.apenergy.2024.122650,,QFIELD_BS_local_energy_sharing_distribution_support,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000097,Data-Driven Coordinated Optimization Strategy for 5G Base Station-Based Virtual Power Plants and Distribution Networks,2025,10.1109/ieses66335.2025.11359847,https://doi.org/10.1109/ieses66335.2025.11359847,,QFIELD_BS_local_energy_sharing_distribution_support,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000103,Cooperative Planning of Distributed Renewable Energy Assisted 5G Base Station With Battery Swapping System,2021,10.1109/access.2021.3108041,https://doi.org/10.1109/access.2021.3108041,,QFIELD_BS_renewable_energy_integration,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000106,AI-Driven Optimization of Renewable Energy Systems: Enhancing Grid Efficiency and Smart Mobility Through 5G and 6G Network Integration,2025,10.2139/ssrn.5205082,https://doi.org/10.2139/ssrn.5205082,,QFIELD_BS_renewable_energy_integration,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000107,AI-Driven Optimization of Renewable Energy Systems: Enhancing Grid Efficiency and Smart Mobility Through 5G and 6G Network Integration,2025,10.2139/ssrn.5205158,https://doi.org/10.2139/ssrn.5205158,,QFIELD_BS_renewable_energy_integration,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000108,AI-Driven Optimization of Renewable Energy Systems: Enhancing Grid Efficiency and Smart Mobility Through 5G and 6G Network Integration,2025,10.2139/ssrn.5205133,https://doi.org/10.2139/ssrn.5205133,,QFIELD_BS_renewable_energy_integration,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000111,Renewable energy assisted traffic aware cellular base station energy cooperation,2021,10.32920/14639622,https://doi.org/10.32920/14639622,,QFIELD_BS_renewable_energy_integration,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000124,Efficient Peak Shaving in a Data Center by Joint Optimization of Task Assignment and Energy Storage Management,2016,10.1109/cloud.2016.0020,https://doi.org/10.1109/cloud.2016.0020,,QFIELD_DC_demand_response_peak_management|QPAIR_DC_BS_demand_response_peak_management|QPAIR_DC_EV_demand_response_peak_management|QPR_DC_demand_response_peak_management|QSA_DC_demand_response_peak_management,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000151,Data-Driven Load-Forecast-Aided Microgrid for AI Data Center,2025,10.36227/techrxiv.176300486.61825852/v1,https://doi.org/10.36227/techrxiv.176300486.61825852/v1,,QFIELD_DC_local_energy_sharing_distribution_support,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000155,Harmonization between Renewable Energy and Cloud Computing towards Green Computing A Case Study: Data Center at The University Of Jordan,2021,10.1109/irec51415.2021.9427865,https://doi.org/10.1109/irec51415.2021.9427865,,QFIELD_DC_renewable_energy_integration|QPR_DC_renewable_energy_integration|QSA_DC_renewable_energy_integration,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000160,Low-Carbon Optimization of Data Center Multi-Energy Systems with Liquid-Based Carbon Capture and Renewable Energy Integration,2025,10.2139/ssrn.5357694,https://doi.org/10.2139/ssrn.5357694,,QFIELD_DC_renewable_energy_integration|QPAIR_DC_BS_renewable_energy_integration|QPR_DC_renewable_energy_integration|QSA_DC_renewable_energy_integration,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000174,"Peak Shaving for Electric Vehicle Charging Infrastructure—A Case Study in a Parking Garage in Uppsala, Sweden",2022,10.3390/wevj13080152,https://doi.org/10.3390/wevj13080152,,QFIELD_EV_demand_response_peak_management,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000175,Cost-Optimal Aggregated Electric Vehicle Flexibility for Demand Response Market Participation by Workplace Electric Vehicle Charging Aggregators,2024,10.3390/en17071745,https://doi.org/10.3390/en17071745,,QFIELD_EV_demand_response_peak_management,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000177,Vehicle-to-Grid and Grid-to-Vehicle Scheduling Based on Load Leveling and Peak Shaving,2024,10.1109/spies63782.2024.10982869,https://doi.org/10.1109/spies63782.2024.10982869,,QFIELD_EV_demand_response_peak_management|QPR_EV_demand_response_peak_management|QSA_EV_demand_response_peak_management,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000178,Charging Scheduling of Electric Vehicle incorporating Grid-to-Vehicle (G2V) and Vehicle-to-Grid (V2G) technology in Smart-Grid,2020,10.1109/pesgre45664.2020.9070489,https://doi.org/10.1109/pesgre45664.2020.9070489,,QFIELD_EV_demand_response_peak_management|QFIELD_EV_local_energy_sharing_distribution_support|QFIELD_EV_renewable_energy_integration|QFIELD_EV_resilience_emergency_operation|QPAIR_BS_EV_local_energy_sharing_distribution_support|QPAIR_BS_EV_renewable_energy_integration|QPR_EV_demand_response_peak_management|QPR_EV_frequency_response_regulation|QPR_EV_local_energy_sharing_distribution_support|QPR_EV_renewable_energy_integration|QPR_EV_resilience_emergency_operation|QSA_EV_demand_response_peak_management|QSA_EV_frequency_response_regulation|QSA_EV_local_energy_sharing_distribution_support|QSA_EV_renewable_energy_integration|QSA_EV_resilience_emergency_operation,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000180,Charging Scheduling of Electric Vehicles (EV) in Probabilistic Scenario considering Grid-to-Vehicle (G2V) and Vehicle-to-Grid (V2G),2020,10.1109/calcon49167.2020.9106552,https://doi.org/10.1109/calcon49167.2020.9106552,,QFIELD_EV_demand_response_peak_management|QFIELD_EV_local_energy_sharing_distribution_support|QFIELD_EV_resilience_emergency_operation|QPR_EV_demand_response_peak_management|QPR_EV_frequency_response_regulation|QPR_EV_local_energy_sharing_distribution_support|QPR_EV_resilience_emergency_operation|QSA_EV_demand_response_peak_management|QSA_EV_frequency_response_regulation|QSA_EV_local_energy_sharing_distribution_support|QSA_EV_resilience_emergency_operation,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000181,A Novel Optimal Charging Strategy of Aggregated Electric Vehicle Aggregators for Peak Load Shaving Service with Seasonal Load Variance in Smart Grids,2024,10.2139/ssrn.5045982,https://doi.org/10.2139/ssrn.5045982,,QFIELD_EV_demand_response_peak_management|QPR_EV_demand_response_peak_management|QSA_EV_demand_response_peak_management,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000182,Optimal Electric Vehicle Fleet Charging Management with a Frequency Regulation Service,2023,10.3390/wevj14060152,https://doi.org/10.3390/wevj14060152,,QFIELD_EV_frequency_response_regulation|QPAIR_BS_EV_frequency_response_regulation|QPR_EV_frequency_response_regulation|QSA_EV_frequency_response_regulation,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000184,Multi-criteria optimization of electric vehicle fleet charging and discharging schedule for secondary frequency control,2019,10.1049/pbtr016e_ch4,https://doi.org/10.1049/pbtr016e_ch4,,QFIELD_EV_frequency_response_regulation|QPAIR_BS_EV_demand_response_peak_management|QPAIR_BS_EV_frequency_response_regulation|QPAIR_BS_EV_local_energy_sharing_distribution_support|QPAIR_BS_EV_renewable_energy_integration|QPAIR_BS_EV_resilience_emergency_operation|QPAIR_DC_EV_frequency_response_regulation|QPAIR_EV_BLDG_frequency_response_regulation|QPR_EV_frequency_response_regulation|QPR_EV_resilience_emergency_operation|QSA_EV_frequency_response_regulation|QSA_EV_resilience_emergency_operation,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000186,Incremental Profitability Evaluation of Vehicle-to-Grid-Enabled Automated Frequency Restoration Reserve Services for Semi-Public Charging Infrastructure: A Case Study in Belgium,2023,10.3390/wevj14120339,https://doi.org/10.3390/wevj14120339,,QFIELD_EV_frequency_response_regulation,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000187,Profitability Evaluation of Vehicle-to-Grid-Enabled Frequency Containment Reserve Services into the Business Models of the Core Participants of Electric Vehicle Charging Business Ecosystem,2023,10.3390/wevj14010018,https://doi.org/10.3390/wevj14010018,,QFIELD_EV_frequency_response_regulation|QPR_EV_frequency_response_regulation|QSA_EV_frequency_response_regulation,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000189,Design of Adaptive Control Scheme for Provision of Frequency Regulation Service from Electric Vehicle Fleet,2023,10.1109/isgteurope56780.2023.10408178,https://doi.org/10.1109/isgteurope56780.2023.10408178,,QFIELD_EV_frequency_response_regulation|QPAIR_BS_EV_frequency_response_regulation|QPR_EV_frequency_response_regulation|QSA_EV_frequency_response_regulation,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000190,Quantum-driven frequency stability in Indian prospect smart grid with electric vehicle charging station integration and real-time hardware validation,2026,10.1038/s41598-025-32156-x,https://doi.org/10.1038/s41598-025-32156-x,https://www.nature.com/articles/s41598-025-32156-x.pdf,QFIELD_EV_frequency_response_regulation,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000191,Optimal Operation Strategy of Electric Vehicle Battery Charging and Swapping Stations for Frequency Response Service,2025,10.1109/sgai64825.2025.11009806,https://doi.org/10.1109/sgai64825.2025.11009806,,QFIELD_EV_frequency_response_regulation|QPR_EV_frequency_response_regulation|QSA_EV_frequency_response_regulation,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000195,Massive Electric Vehicle Charging Involving Renewable Energy,2018,10.1007/978-981-10-4250-8_6,https://doi.org/10.1007/978-981-10-4250-8_6,,QFIELD_EV_local_energy_sharing_distribution_support|QPAIR_BS_EV_demand_response_peak_management|QPAIR_BS_EV_local_energy_sharing_distribution_support|QPAIR_BS_EV_renewable_energy_integration|QPAIR_BS_EV_resilience_emergency_operation|QPAIR_DC_EV_local_energy_sharing_distribution_support|QPR_EV_local_energy_sharing_distribution_support|QSA_EV_local_energy_sharing_distribution_support,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000197,Novel wind powered electric vehicle charging station with vehicle-to-grid (V2G) connection capability,2017,10.1016/j.enconman.2016.12.045,https://doi.org/10.1016/j.enconman.2016.12.045,,QFIELD_EV_local_energy_sharing_distribution_support|QPAIR_BS_EV_demand_response_peak_management|QPAIR_BS_EV_local_energy_sharing_distribution_support|QPR_EV_local_energy_sharing_distribution_support|QSA_EV_local_energy_sharing_distribution_support,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000198,Impact of EV and V2G on the Smart Grid and Renewable Energy Systems,2015,10.1049/pbpo079e_ch2,https://doi.org/10.1049/pbpo079e_ch2,,QFIELD_EV_local_energy_sharing_distribution_support|QFIELD_EV_renewable_energy_integration|QPR_EV_local_energy_sharing_distribution_support|QPR_EV_renewable_energy_integration|QSA_EV_local_energy_sharing_distribution_support|QSA_EV_renewable_energy_integration,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000199,Reactive–Active Power Coordination Control of Grid-Forming V2G Charging Stations for Distribution Network Voltage Regulation,2026,10.3390/wevj17050252,https://doi.org/10.3390/wevj17050252,,QFIELD_EV_local_energy_sharing_distribution_support|QPAIR_BS_EV_frequency_response_regulation|QPAIR_BS_EV_local_energy_sharing_distribution_support|QPAIR_BS_EV_resilience_emergency_operation,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000200,Smart Grid Congestion Caused by Plug-in Electric Vehicle Charging,2019,10.1109/tpec.2019.8662152,https://doi.org/10.1109/tpec.2019.8662152,,QFIELD_EV_local_energy_sharing_distribution_support|QPR_EV_local_energy_sharing_distribution_support|QSA_EV_local_energy_sharing_distribution_support,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000201,Efficient Vehicle-to-Grid (V2G) Coordination in Smart Grid Under Auction Games,2020,10.1007/978-981-15-2639-8_7,https://doi.org/10.1007/978-981-15-2639-8_7,,QFIELD_EV_local_energy_sharing_distribution_support|QFIELD_EV_resilience_emergency_operation|QPR_EV_local_energy_sharing_distribution_support|QPR_EV_resilience_emergency_operation|QSA_EV_local_energy_sharing_distribution_support|QSA_EV_resilience_emergency_operation,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000205,Multiobjective optimization of Grid- Photovoltaic- Electric Vehicle Hybrid system in Smart Building with Vehicle-to-Grid (V2G) concept,2018,10.1109/icrera.2018.8567002,https://doi.org/10.1109/icrera.2018.8567002,,QFIELD_EV_renewable_energy_integration|QMA_demand_response_peak_management|QMA_frequency_response_regulation|QMA_local_energy_sharing_distribution_support|QMA_renewable_energy_integration|QMA_resilience_emergency_operation|QPAIR_BS_EV_renewable_energy_integration|QPAIR_EV_BLDG_demand_response_peak_management|QPAIR_EV_BLDG_frequency_response_regulation|QPAIR_EV_BLDG_local_energy_sharing_distribution_support|QPAIR_EV_BLDG_renewable_energy_integration|QPAIR_EV_BLDG_resilience_emergency_operation|QPR_EV_local_energy_sharing_distribution_support|QPR_EV_renewable_energy_integration|QSA_EV_local_energy_sharing_distribution_support|QSA_EV_renewable_energy_integration,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000206,"Integrated optimization of charging infrastructure, fleet size and vehicle operation in shared autonomous electric vehicle system considering vehicle-to-grid",2024,10.1016/j.renene.2024.120760,https://doi.org/10.1016/j.renene.2024.120760,,QFIELD_EV_renewable_energy_integration|QPAIR_BS_EV_renewable_energy_integration|QPR_EV_renewable_energy_integration|QSA_EV_renewable_energy_integration,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000207,Artificial intelligence-based adaptive control for vehicle-to-grid and grid-to-vehicle operations in electric vehicle charging stations,2026,10.1016/j.renene.2025.124769,https://doi.org/10.1016/j.renene.2025.124769,,QFIELD_EV_renewable_energy_integration|QPAIR_BS_EV_renewable_energy_integration|QPR_EV_renewable_energy_integration|QSA_EV_renewable_energy_integration,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000209,Scheduling electric vehicle charging to minimise carbon emissions and wind curtailment,2020,10.1016/j.renene.2020.07.017,https://doi.org/10.1016/j.renene.2020.07.017,,QFIELD_EV_renewable_energy_integration|QPR_EV_renewable_energy_integration|QSA_EV_renewable_energy_integration,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000210,Comparative Analysis of AC and DC Electric Vehicle Charging Systems with Renewable Energy Integration,2026,10.1201/9781003585534-12,https://doi.org/10.1201/9781003585534-12,,QFIELD_EV_renewable_energy_integration|QPR_EV_renewable_energy_integration|QSA_EV_renewable_energy_integration,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000211,A smart algorithm to optimally manage the charging strategy of the Home to Vehicle (H2V) and Vehicle to Home (V2H) technologies in an off-grid home powered by renewable sources,2024,10.1007/s12667-022-00548-x,https://doi.org/10.1007/s12667-022-00548-x,https://link.springer.com/content/pdf/10.1007/s12667-022-00548-x.pdf,QFIELD_EV_renewable_energy_integration|QPR_EV_renewable_energy_integration|QSA_EV_renewable_energy_integration,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000217,Power Management for V2G and V2H Operation Modes in Single-Phase PV/BES/EV Hybrid Energy System,2025,10.3390/wevj16100580,https://doi.org/10.3390/wevj16100580,,QFIELD_EV_resilience_emergency_operation,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000218,Vehicle-to-Grid (V2G) Battery Charging System for Electric Vehicles,2025,10.2174/9789815324877125010010,https://doi.org/10.2174/9789815324877125010010,,QFIELD_EV_resilience_emergency_operation|QPR_EV_resilience_emergency_operation|QSA_EV_resilience_emergency_operation,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000221,Reducing Marginal Emissions of an Electric Vehicle Fleet through Smart Charging and Vehicle-to-grid,2023,10.1109/isgteurope56780.2023.10407696,https://doi.org/10.1109/isgteurope56780.2023.10407696,,QFIELD_EV_resilience_emergency_operation|QPR_EV_resilience_emergency_operation|QSA_EV_resilience_emergency_operation,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000222,Using spatial-temporal flexibility of data center building in energy management of distribution grid coupled with multi-energy hubs and energy storage,2025,10.1016/j.egyr.2025.11.057,https://doi.org/10.1016/j.egyr.2025.11.057,,QMA_demand_response_peak_management|QMA_frequency_response_regulation|QMA_local_energy_sharing_distribution_support|QMA_renewable_energy_integration|QMA_resilience_emergency_operation|QPAIR_DC_BLDG_demand_response_peak_management|QPAIR_DC_BLDG_frequency_response_regulation|QPAIR_DC_BLDG_local_energy_sharing_distribution_support|QPAIR_DC_BLDG_renewable_energy_integration|QPAIR_DC_BLDG_resilience_emergency_operation,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
