search_record_id,search_run_id,query_id,query_family,source_database,source_record_id,rank_in_response,title,abstract,publication_year,doi_raw,doi_normalized,stable_url,oa_url,document_type,authors,venue_or_issuer,language,region_or_jurisdiction,repository_path,source_sha256,raw_response_path
R000011,RUN_20260831_EVIDENCE_MAP_01,QREPO_SEEDS,repository_seeds,repository,SRC0011,11,Stabilizing lithium-metal electrodes with polymer coatings,,,,,,,pdf,,,en,,nature energy综述例子集合/Stabilizing lithium-metal electrodes with polymer coatings.pdf,66a20b9238055da28865bebb38d3a0df1c18efabe685ed44dd8b7adaac8e4139,
R000012,RUN_20260831_EVIDENCE_MAP_01,QREPO_SEEDS,repository_seeds,repository,SRC0012,12,Upscaling high-areal-capacity battery electrodes,,,,,,,pdf,,,en,,nature energy综述例子集合/Upscaling high-areal-capacity battery electrodes.pdf,f892d260ae1cc3f7b14313bb3ebdb0ca35ac9bec08f942dd3daf45a5497af174,
R000013,RUN_20260831_EVIDENCE_MAP_01,QREPO_SEEDS,repository_seeds,repository,SRC0013,13,2024 An electricity-driven mobility circular economy with lifecycle carbon footprints for climate-adaptive carbon neutrality transformation,,2024,,,,,pdf,,,en,,周跃宽本人论文/2024 An electricity-driven mobility circular economy with lifecycle carbon footprints for climate-adaptive carbon neutrality transformation.pdf,007d6e92a4fd65ea23ad3b929ad7cc441c5a3d324f3b1a8c78f08054f2e0f5cf,
R000014,RUN_20260831_EVIDENCE_MAP_01,QREPO_SEEDS,repository_seeds,repository,SRC0014,14,2025 An Integrative lifecycle design approach based on carbon intensity for renewable-battery-consumer energy systems,,2025,,,,,pdf,,,en,,周跃宽本人论文/2025 An Integrative lifecycle design approach based on carbon intensity for renewable-battery-consumer energy systems.pdf,f571dd0bee758806483ddc70d684d799951cd4f4e34c6e4f9c3c270af4d1c865,
R000015,RUN_20260831_EVIDENCE_MAP_01,QREPO_SEEDS,repository_seeds,repository,SRC0015,15,2025 City information models for optimal EV charging and energy-resilient renaissance,,2025,,,,,pdf,,,en,,周跃宽本人论文/2025 City information models for optimal EV charging and energy-resilient renaissance.pdf,c8e5d005144d7c521b3f921242fb01f72555596361ca438ef788c59d3dd2edbd,
R000016,RUN_20260831_EVIDENCE_MAP_01,QREPO_SEEDS,repository_seeds,repository,SRC0016,16,2025 Lifecycle carbon intensity with embodied emissions of battery and hydrogen-driven integrative low-carbon systems,,2025,,,,,pdf,,,en,,周跃宽本人论文/2025 Lifecycle carbon intensity with embodied emissions of battery and hydrogen-driven integrative low-carbon systems.pdf,14fcd6833e750bf7320200adf811822395607dfac59ca08047777c404971d37c,
R000017,RUN_20260831_EVIDENCE_MAP_01,QREPO_SEEDS,repository_seeds,repository,SRC0017,17,2026 Integrating renewable energy with electricvehicle charging infrastructure in China A strategyfor enhanced accessibility and carbon abatement,,2026,,,,,pdf,,,en,,周跃宽本人论文/2026 Integrating renewable energy with electricvehicle charging infrastructure in China A strategyfor enhanced accessibility and carbon abatement.pdf,5b860b930fedd01121994124be1e76a2838b1d8b70d8a052027164247ce6b77b,
R000018,RUN_20260831_EVIDENCE_MAP_01,QREPO_SEEDS,repository_seeds,repository,SRC0018,18,"March 18, 2025 Energy-resilient climate adaptation using a tailored life-cycle integrative design approach for national carbon abatement",,2025,,,,,pdf,,,en,,"周跃宽本人论文/March 18, 2025 Energy-resilient climate adaptation using a tailored life-cycle integrative design approach for national carbon abatement.pdf",c166c890b4bd2156e2240563cba9dc23fcfbcaefe1569a13926a0bccae46e303,
R000019,RUN_20260831_EVIDENCE_MAP_01,QREPO_SEEDS,repository_seeds,repository,SRC0019,19,周跃宽的idea,,,,,,,docx,,,zh,,周跃宽的idea.docx,4b47947749fab40c676187820968aa1e693f64bfd507b18b817a382cf97c6a1a,
R000020,RUN_20260831_EVIDENCE_MAP_01,QREPO_SEEDS,repository_seeds,repository,SRC0020,20,AI数据中心作为电网互动型资产_逐段翻译与深度解读,,,,,,,docx,,,zh,,案例论文/AI数据中心作为电网互动型资产_逐段翻译与深度解读.docx,6152ed42549b169769e3ba1f4271c3a6c90f3335e23b1c4e2fd06c9480e5e9d4,
R000021,RUN_20260831_EVIDENCE_MAP_01,QREPO_SEEDS,repository_seeds,repository,SRC0021,21,AI data centres as grid-interactive assets,,,,,,,pdf,,,en,,案例论文/s41560-025-01927-1(1).pdf,b4f8dfc6a41d110b7f05473f6ce4961d4956c9c9f716189af17e0f7ea271f6a2,
R000022,RUN_20260831_EVIDENCE_MAP_01,QFIELD_BLDG_demand_response_peak_management,field_and_operational_evidence,crossref,10.1016/b978-0-323-99588-7.00001-8,1,Building energy flexibility analysis: case studies and demonstration,,2023,10.1016/b978-0-323-99588-7.00001-8,10.1016/b978-0-323-99588-7.00001-8,https://doi.org/10.1016/b978-0-323-99588-7.00001-8,,book-chapter,Xinlei Zhou|Zhenjun Ma|Craig McLauchlan,Elsevier,en,,,,data/raw_metadata/crossref/QFIELD_BLDG_demand_response_peak_management.json
R000023,RUN_20260831_EVIDENCE_MAP_01,QFIELD_BLDG_demand_response_peak_management,field_and_operational_evidence,crossref,10.1016/b978-0-323-99588-7.00009-2,2,Energy flexibility in grid-interactive and net/nearly zero energy buildings,,2023,10.1016/b978-0-323-99588-7.00009-2,10.1016/b978-0-323-99588-7.00009-2,https://doi.org/10.1016/b978-0-323-99588-7.00009-2,,book-chapter,Yutong Li|Yuming Zhao|Bin Hao|Jing Wang,Elsevier,en,,,,data/raw_metadata/crossref/QFIELD_BLDG_demand_response_peak_management.json
R000024,RUN_20260831_EVIDENCE_MAP_01,QFIELD_BLDG_demand_response_peak_management,field_and_operational_evidence,crossref,10.1016/b978-0-323-99588-7.00010-9,3,Smart grids and building energy flexibility,,2023,10.1016/b978-0-323-99588-7.00010-9,10.1016/b978-0-323-99588-7.00010-9,https://doi.org/10.1016/b978-0-323-99588-7.00010-9,,book-chapter,Sobhan Dorahaki|Mojgan MollahassaniPour|Sahar Mobasheri|Masoud Rashidinejad,Elsevier,en,,,,data/raw_metadata/crossref/QFIELD_BLDG_demand_response_peak_management.json
R000025,RUN_20260831_EVIDENCE_MAP_01,QFIELD_BLDG_demand_response_peak_management,field_and_operational_evidence,crossref,10.1016/j.jobe.2025.112731,4,A scalable data-driven framework for demand flexibility in commercial building clusters enabling grid-interactive efficient buildings,,2025,10.1016/j.jobe.2025.112731,10.1016/j.jobe.2025.112731,https://doi.org/10.1016/j.jobe.2025.112731,,journal-article,Gwangwoo Han|Haneul Choi|Seul Lee|Byeongmo Seo|Jonghun Kim,Elsevier BV,en,,,,data/raw_metadata/crossref/QFIELD_BLDG_demand_response_peak_management.json
R000026,RUN_20260831_EVIDENCE_MAP_01,QFIELD_BLDG_demand_response_peak_management,field_and_operational_evidence,crossref,10.1016/b978-0-323-99588-7.00002-x,5,Building energy flexibility: modeling and optimization,,2023,10.1016/b978-0-323-99588-7.00002-x,10.1016/b978-0-323-99588-7.00002-x,https://doi.org/10.1016/b978-0-323-99588-7.00002-x,,book-chapter,Haoshan Ren|Yongjun Sun,Elsevier,en,,,,data/raw_metadata/crossref/QFIELD_BLDG_demand_response_peak_management.json
R000027,RUN_20260831_EVIDENCE_MAP_01,QFIELD_BLDG_demand_response_peak_management,field_and_operational_evidence,crossref,10.1016/b978-0-323-99588-7.00005-5,6,Heat pumps for building energy flexibility,,2023,10.1016/b978-0-323-99588-7.00005-5,10.1016/b978-0-323-99588-7.00005-5,https://doi.org/10.1016/b978-0-323-99588-7.00005-5,,book-chapter,Anna Komerska|Jerzy Kwiatkowski|Joanna Rucińska,Elsevier,en,,,,data/raw_metadata/crossref/QFIELD_BLDG_demand_response_peak_management.json
R000028,RUN_20260831_EVIDENCE_MAP_01,QFIELD_BLDG_demand_response_peak_management,field_and_operational_evidence,crossref,10.1016/b978-0-323-99588-7.00004-3,7,Thermal energy storage for enhanced building energy flexibility,,2023,10.1016/b978-0-323-99588-7.00004-3,10.1016/b978-0-323-99588-7.00004-3,https://doi.org/10.1016/b978-0-323-99588-7.00004-3,,book-chapter,Ekrem Tunçbilek|Çağatay Yıldız|Müslüm Arıcı|Zhenjun Ma|Muhammad Bilal Awan,Elsevier,en,,,,data/raw_metadata/crossref/QFIELD_BLDG_demand_response_peak_management.json
R000029,RUN_20260831_EVIDENCE_MAP_01,QFIELD_BLDG_demand_response_peak_management,field_and_operational_evidence,crossref,10.1016/c2021-0-02510-4,8,Building Energy Flexibility and Demand Management,,2023,10.1016/c2021-0-02510-4,10.1016/c2021-0-02510-4,https://doi.org/10.1016/c2021-0-02510-4,,edited-book,,Elsevier,en,,,,data/raw_metadata/crossref/QFIELD_BLDG_demand_response_peak_management.json
R000030,RUN_20260831_EVIDENCE_MAP_01,QFIELD_BLDG_demand_response_peak_management,field_and_operational_evidence,crossref,10.1016/b978-0-323-99588-7.00003-1,9,"Building energy flexibility: definitions, sources, indicators, and quantification methods",,2023,10.1016/b978-0-323-99588-7.00003-1,10.1016/b978-0-323-99588-7.00003-1,https://doi.org/10.1016/b978-0-323-99588-7.00003-1,,book-chapter,Muhammad Bilal Awan|Zhenjun Ma,Elsevier,en,,,,data/raw_metadata/crossref/QFIELD_BLDG_demand_response_peak_management.json
R000031,RUN_20260831_EVIDENCE_MAP_01,QFIELD_BLDG_demand_response_peak_management,field_and_operational_evidence,crossref,10.1109/isgt-asia.2019.8881571,10,An Interoperable Building Energy Management System with IEEE1888 Open Protocol for Peak-Load Shaving,,2019,10.1109/isgt-asia.2019.8881571,10.1109/isgt-asia.2019.8881571,https://doi.org/10.1109/isgt-asia.2019.8881571,,proceedings-article,Phanumat Saatwong|Surapong Suwankawin,IEEE,,,,,data/raw_metadata/crossref/QFIELD_BLDG_demand_response_peak_management.json
R000032,RUN_20260831_EVIDENCE_MAP_01,QFIELD_BLDG_frequency_response_regulation,field_and_operational_evidence,crossref,10.1016/j.jobe.2025.112731,1,A scalable data-driven framework for demand flexibility in commercial building clusters enabling grid-interactive efficient buildings,,2025,10.1016/j.jobe.2025.112731,10.1016/j.jobe.2025.112731,https://doi.org/10.1016/j.jobe.2025.112731,,journal-article,Gwangwoo Han|Haneul Choi|Seul Lee|Byeongmo Seo|Jonghun Kim,Elsevier BV,en,,,,data/raw_metadata/crossref/QFIELD_BLDG_frequency_response_regulation.json
R000033,RUN_20260831_EVIDENCE_MAP_01,QFIELD_BLDG_frequency_response_regulation,field_and_operational_evidence,crossref,10.1002/9781394203093.ch1,2,Introducing Grid‐interactive Efficient Buildings (GEBs),,2024,10.1002/9781394203093.ch1,10.1002/9781394203093.ch1,https://doi.org/10.1002/9781394203093.ch1,,other,,Wiley,en,,,,data/raw_metadata/crossref/QFIELD_BLDG_frequency_response_regulation.json
R000034,RUN_20260831_EVIDENCE_MAP_01,QFIELD_BLDG_frequency_response_regulation,field_and_operational_evidence,crossref,10.1016/b978-0-323-99588-7.00001-8,3,Building energy flexibility analysis: case studies and demonstration,,2023,10.1016/b978-0-323-99588-7.00001-8,10.1016/b978-0-323-99588-7.00001-8,https://doi.org/10.1016/b978-0-323-99588-7.00001-8,,book-chapter,Xinlei Zhou|Zhenjun Ma|Craig McLauchlan,Elsevier,en,,,,data/raw_metadata/crossref/QFIELD_BLDG_frequency_response_regulation.json
R000035,RUN_20260831_EVIDENCE_MAP_01,QFIELD_BLDG_frequency_response_regulation,field_and_operational_evidence,crossref,10.1016/b978-0-323-99588-7.00009-2,4,Energy flexibility in grid-interactive and net/nearly zero energy buildings,,2023,10.1016/b978-0-323-99588-7.00009-2,10.1016/b978-0-323-99588-7.00009-2,https://doi.org/10.1016/b978-0-323-99588-7.00009-2,,book-chapter,Yutong Li|Yuming Zhao|Bin Hao|Jing Wang,Elsevier,en,,,,data/raw_metadata/crossref/QFIELD_BLDG_frequency_response_regulation.json
R000036,RUN_20260831_EVIDENCE_MAP_01,QFIELD_BLDG_frequency_response_regulation,field_and_operational_evidence,crossref,10.1016/j.jobe.2024.110406,5,Occupant-driven end use load models for demand response and flexibility service participation of residential grid-interactive buildings,,2024,10.1016/j.jobe.2024.110406,10.1016/j.jobe.2024.110406,https://doi.org/10.1016/j.jobe.2024.110406,,journal-article,Brady Berg|Niraj Kunwar|Patricia Guillante|Soham Vanage|Roohany Mahmud|Kristen Cetin|Ali Jahanbani Ardakani|James McCalley|Yu Wang,Elsevier BV,en,,,,data/raw_metadata/crossref/QFIELD_BLDG_frequency_response_regulation.json
R000037,RUN_20260831_EVIDENCE_MAP_01,QFIELD_BLDG_frequency_response_regulation,field_and_operational_evidence,crossref,10.46855/energy-proceedings-3450,6,An Improved Fast Demand Response Strategy of Building Hvac System With Low Cost Measurement Sensors for Smart Grid Applications,,2020,10.46855/energy-proceedings-3450,10.46855/energy-proceedings-3450,https://doi.org/10.46855/energy-proceedings-3450,,posted-content,Fengming Ran|Dian-ce Gao|Xu Zhang|Shuyue Chen,Applied Energy Innovation Institute (AEii),,,,,data/raw_metadata/crossref/QFIELD_BLDG_frequency_response_regulation.json
R000038,RUN_20260831_EVIDENCE_MAP_01,QFIELD_BLDG_frequency_response_regulation,field_and_operational_evidence,crossref,10.1016/j.energy.2021.120741,7,A hierarchical optimal control strategy for continuous demand response of building HVAC systems to provide frequency regulation service to smart power grids,,2021,10.1016/j.energy.2021.120741,10.1016/j.energy.2021.120741,https://doi.org/10.1016/j.energy.2021.120741,,journal-article,Huilong Wang|Shengwei Wang,Elsevier BV,en,,,,data/raw_metadata/crossref/QFIELD_BLDG_frequency_response_regulation.json
R000039,RUN_20260831_EVIDENCE_MAP_01,QFIELD_BLDG_frequency_response_regulation,field_and_operational_evidence,crossref,10.1016/b978-0-323-99588-7.00010-9,8,Smart grids and building energy flexibility,,2023,10.1016/b978-0-323-99588-7.00010-9,10.1016/b978-0-323-99588-7.00010-9,https://doi.org/10.1016/b978-0-323-99588-7.00010-9,,book-chapter,Sobhan Dorahaki|Mojgan MollahassaniPour|Sahar Mobasheri|Masoud Rashidinejad,Elsevier,en,,,,data/raw_metadata/crossref/QFIELD_BLDG_frequency_response_regulation.json
R000040,RUN_20260831_EVIDENCE_MAP_01,QFIELD_BLDG_frequency_response_regulation,field_and_operational_evidence,crossref,10.1109/tsg.2014.2381596,9,Experimental Evaluation of Frequency Regulation From Commercial Building HVAC Systems,,2015,10.1109/tsg.2014.2381596,10.1109/tsg.2014.2381596,https://doi.org/10.1109/tsg.2014.2381596,http://ieeexplore.ieee.org/ielaam/5165411/7042857/7001102-aam.pdf,journal-article,Yashen Lin|Prabir Barooah|Sean Meyn|Timothy Middelkoop,Institute of Electrical and Electronics Engineers (IEEE),,,,,data/raw_metadata/crossref/QFIELD_BLDG_frequency_response_regulation.json
R000041,RUN_20260831_EVIDENCE_MAP_01,QFIELD_BLDG_frequency_response_regulation,field_and_operational_evidence,crossref,10.3390/en17194794,10,Comprehensive Review of Building Energy Management Models: Grid-Interactive Efficient Building Perspective,"Energy management models for buildings have been designed primarily to reduce energy costs and improve efficiency. However, the focus has recently shifted to GEBs with a view toward balancing energy supply and demand while enhancing system flexibility and responsiveness. This paper provides a comprehensive comparative analysis of GEBs and other building energy management models, categorizing their features into internal and external dimensions. This review highlights the evolution of building models, including intelligent buildings, smart buildings, green buildings, and zero-energy buildings, and introduces eight distinct features of GEBs related to their efficient, connected, smart, and flexible aspects. The analysis is based on an extensive literature review and a detailed comparison of building models across the aforementioned features. GEBs prioritize interaction with the power grid, which distinguishes them from traditional models focusing on internal efficiency and occupant comfort. This paper also discusses the technological components and research trends associated with GEBs, providing insights into their development and potential evolution in the context of sustainable and efficient building design.",2024,10.3390/en17194794,10.3390/en17194794,https://doi.org/10.3390/en17194794,,journal-article,Anujin Bayasgalan|Yoo Shin Park|Seak Bai Koh|Sung-Yong Son,MDPI AG,en,,,,data/raw_metadata/crossref/QFIELD_BLDG_frequency_response_regulation.json
R000042,RUN_20260831_EVIDENCE_MAP_01,QFIELD_BLDG_local_energy_sharing_distribution_support,field_and_operational_evidence,crossref,10.1002/9781394203093.ch1,1,Introducing Grid‐interactive Efficient Buildings (GEBs),,2024,10.1002/9781394203093.ch1,10.1002/9781394203093.ch1,https://doi.org/10.1002/9781394203093.ch1,,other,,Wiley,en,,,,data/raw_metadata/crossref/QFIELD_BLDG_local_energy_sharing_distribution_support.json
R000043,RUN_20260831_EVIDENCE_MAP_01,QFIELD_BLDG_local_energy_sharing_distribution_support,field_and_operational_evidence,crossref,10.1016/b978-0-323-99588-7.00009-2,2,Energy flexibility in grid-interactive and net/nearly zero energy buildings,,2023,10.1016/b978-0-323-99588-7.00009-2,10.1016/b978-0-323-99588-7.00009-2,https://doi.org/10.1016/b978-0-323-99588-7.00009-2,,book-chapter,Yutong Li|Yuming Zhao|Bin Hao|Jing Wang,Elsevier,en,,,,data/raw_metadata/crossref/QFIELD_BLDG_local_energy_sharing_distribution_support.json
R000044,RUN_20260831_EVIDENCE_MAP_01,QFIELD_BLDG_local_energy_sharing_distribution_support,field_and_operational_evidence,crossref,10.1016/b978-0-323-99588-7.00001-8,3,Building energy flexibility analysis: case studies and demonstration,,2023,10.1016/b978-0-323-99588-7.00001-8,10.1016/b978-0-323-99588-7.00001-8,https://doi.org/10.1016/b978-0-323-99588-7.00001-8,,book-chapter,Xinlei Zhou|Zhenjun Ma|Craig McLauchlan,Elsevier,en,,,,data/raw_metadata/crossref/QFIELD_BLDG_local_energy_sharing_distribution_support.json
R000045,RUN_20260831_EVIDENCE_MAP_01,QFIELD_BLDG_local_energy_sharing_distribution_support,field_and_operational_evidence,crossref,10.1109/pesgre52268.2022.9715880,4,A Simplified Functional Hybrid Operation Mode for Grid-Interactive Building Energy Management,,2022,10.1109/pesgre52268.2022.9715880,10.1109/pesgre52268.2022.9715880,https://doi.org/10.1109/pesgre52268.2022.9715880,,proceedings-article,Raheem Ariwoola|Sukumar Kamalasadan,IEEE,,,,,data/raw_metadata/crossref/QFIELD_BLDG_local_energy_sharing_distribution_support.json
R000046,RUN_20260831_EVIDENCE_MAP_01,QFIELD_BLDG_local_energy_sharing_distribution_support,field_and_operational_evidence,crossref,10.1016/j.jobe.2025.112731,5,A scalable data-driven framework for demand flexibility in commercial building clusters enabling grid-interactive efficient buildings,,2025,10.1016/j.jobe.2025.112731,10.1016/j.jobe.2025.112731,https://doi.org/10.1016/j.jobe.2025.112731,,journal-article,Gwangwoo Han|Haneul Choi|Seul Lee|Byeongmo Seo|Jonghun Kim,Elsevier BV,en,,,,data/raw_metadata/crossref/QFIELD_BLDG_local_energy_sharing_distribution_support.json
R000047,RUN_20260831_EVIDENCE_MAP_01,QFIELD_BLDG_local_energy_sharing_distribution_support,field_and_operational_evidence,crossref,10.3390/en17194794,6,Comprehensive Review of Building Energy Management Models: Grid-Interactive Efficient Building Perspective,"Energy management models for buildings have been designed primarily to reduce energy costs and improve efficiency. However, the focus has recently shifted to GEBs with a view toward balancing energy supply and demand while enhancing system flexibility and responsiveness. This paper provides a comprehensive comparative analysis of GEBs and other building energy management models, categorizing their features into internal and external dimensions. This review highlights the evolution of building models, including intelligent buildings, smart buildings, green buildings, and zero-energy buildings, and introduces eight distinct features of GEBs related to their efficient, connected, smart, and flexible aspects. The analysis is based on an extensive literature review and a detailed comparison of building models across the aforementioned features. GEBs prioritize interaction with the power grid, which distinguishes them from traditional models focusing on internal efficiency and occupant comfort. This paper also discusses the technological components and research trends associated with GEBs, providing insights into their development and potential evolution in the context of sustainable and efficient building design.",2024,10.3390/en17194794,10.3390/en17194794,https://doi.org/10.3390/en17194794,,journal-article,Anujin Bayasgalan|Yoo Shin Park|Seak Bai Koh|Sung-Yong Son,MDPI AG,en,,,,data/raw_metadata/crossref/QFIELD_BLDG_local_energy_sharing_distribution_support.json
R000048,RUN_20260831_EVIDENCE_MAP_01,QFIELD_BLDG_local_energy_sharing_distribution_support,field_and_operational_evidence,crossref,10.1109/icsmartgrid58556.2023.10170914,7,Data-Driven Flexibility-oriented Energy Management Strategy for Building Cluster Meso Energy Hubs,,2023,10.1109/icsmartgrid58556.2023.10170914,10.1109/icsmartgrid58556.2023.10170914,https://doi.org/10.1109/icsmartgrid58556.2023.10170914,,proceedings-article,Mahdi Nozarian|Amin Hajizadeh|Alireza Fereidunian,IEEE,,,,,data/raw_metadata/crossref/QFIELD_BLDG_local_energy_sharing_distribution_support.json
R000049,RUN_20260831_EVIDENCE_MAP_01,QFIELD_BLDG_local_energy_sharing_distribution_support,field_and_operational_evidence,crossref,10.1016/b978-0-323-99588-7.00010-9,8,Smart grids and building energy flexibility,,2023,10.1016/b978-0-323-99588-7.00010-9,10.1016/b978-0-323-99588-7.00010-9,https://doi.org/10.1016/b978-0-323-99588-7.00010-9,,book-chapter,Sobhan Dorahaki|Mojgan MollahassaniPour|Sahar Mobasheri|Masoud Rashidinejad,Elsevier,en,,,,data/raw_metadata/crossref/QFIELD_BLDG_local_energy_sharing_distribution_support.json
R000050,RUN_20260831_EVIDENCE_MAP_01,QFIELD_BLDG_local_energy_sharing_distribution_support,field_and_operational_evidence,crossref,10.1016/b978-0-323-99588-7.00002-x,9,Building energy flexibility: modeling and optimization,,2023,10.1016/b978-0-323-99588-7.00002-x,10.1016/b978-0-323-99588-7.00002-x,https://doi.org/10.1016/b978-0-323-99588-7.00002-x,,book-chapter,Haoshan Ren|Yongjun Sun,Elsevier,en,,,,data/raw_metadata/crossref/QFIELD_BLDG_local_energy_sharing_distribution_support.json
R000051,RUN_20260831_EVIDENCE_MAP_01,QFIELD_BLDG_local_energy_sharing_distribution_support,field_and_operational_evidence,crossref,10.1016/b978-0-323-99588-7.00004-3,10,Thermal energy storage for enhanced building energy flexibility,,2023,10.1016/b978-0-323-99588-7.00004-3,10.1016/b978-0-323-99588-7.00004-3,https://doi.org/10.1016/b978-0-323-99588-7.00004-3,,book-chapter,Ekrem Tunçbilek|Çağatay Yıldız|Müslüm Arıcı|Zhenjun Ma|Muhammad Bilal Awan,Elsevier,en,,,,data/raw_metadata/crossref/QFIELD_BLDG_local_energy_sharing_distribution_support.json
R000052,RUN_20260831_EVIDENCE_MAP_01,QFIELD_BLDG_renewable_energy_integration,field_and_operational_evidence,crossref,10.2172/2998578,1,A Scalable Hardware-and-Human-in-the-Loop Grid-interactive Efficient Building Equipment Performance Dataset,,2025,10.2172/2998578,10.2172/2998578,https://doi.org/10.2172/2998578,,report,Michael Kane|Misha Pavel|David Fannon|Bethany Sparn,Office of Scientific and Technical Information (OSTI),,,,,data/raw_metadata/crossref/QFIELD_BLDG_renewable_energy_integration.json
R000053,RUN_20260831_EVIDENCE_MAP_01,QFIELD_BLDG_renewable_energy_integration,field_and_operational_evidence,crossref,10.1016/b978-0-323-99588-7.00009-2,2,Energy flexibility in grid-interactive and net/nearly zero energy buildings,,2023,10.1016/b978-0-323-99588-7.00009-2,10.1016/b978-0-323-99588-7.00009-2,https://doi.org/10.1016/b978-0-323-99588-7.00009-2,,book-chapter,Yutong Li|Yuming Zhao|Bin Hao|Jing Wang,Elsevier,en,,,,data/raw_metadata/crossref/QFIELD_BLDG_renewable_energy_integration.json
R000054,RUN_20260831_EVIDENCE_MAP_01,QFIELD_BLDG_renewable_energy_integration,field_and_operational_evidence,crossref,10.2172/1580329,3,"Grid-Interactive Efficient Buildings Technical Report Series: Whole-Building Controls, Sensors, Modeling, and Analytics",,2019,10.2172/1580329,10.2172/1580329,https://doi.org/10.2172/1580329,,report,Amir Roth|Janet Reyna,Office of Scientific and Technical Information (OSTI),,,,,data/raw_metadata/crossref/QFIELD_BLDG_renewable_energy_integration.json
